"4","Head Customer Care (CWN)","Y","3","3","5","2019-09-25 13:35:10","2019-12-12 15:19:04"
"5","Head Customer Care Khon Kaen","Y","3","3","2","2019-09-25 13:35:49","2019-12-12 16:43:06"
"6","Head Customer Care Phitsanulok","Y","3","3","2","2019-09-25 13:36:16","2019-12-12 16:40:54"
"7","Head ACC. & MIS","Y","3","4","6","2019-09-26 18:02:47","2019-12-12 15:44:33"
"8","Head Premium Care (CWN)","Y","3","3","5","2019-12-12 15:27:02","2019-12-12 15:27:02"
"9","Head Complaint Center (CWN)","Y","3","3","5","2019-12-12 15:34:46","2019-12-12 15:34:46"
"10","Head Command","Y","3","3","5","2019-12-12 15:37:54","2019-12-12 15:37:54"
"11","Head Planning & Workforce Mngt.","Y","3","4","6","2019-12-12 15:43:52","2019-12-12 15:43:52"
"12","Head Quality Mngt.","Y","3","4","6","2019-12-12 16:27:56","2019-12-12 16:27:56"
"13","Head HRM","Y","3","4","4","2019-12-12 16:31:25","2019-12-12 16:31:25"
"14","Head HRD","Y","3","4","4","2019-12-12 16:35:22","2019-12-12 16:35:22"
"15","Head OMT","Y","3","4","6","2019-12-16 16:15:27","2019-12-16 16:16:08"
"16","Training Unit (CWN)","Y","3","3","5","2019-12-20 13:06:20","2019-12-20 13:06:20"
"17","Training Unit (KK)","Y","3","3","2","2019-12-20 13:07:21","2019-12-20 13:07:21"
"18","Training Unit (PH)","Y","3","3","2","2019-12-20 13:07:39","2019-12-20 13:07:39"
